date,US 10yr bond,UK 10yr bond
2003-02-17,3.964,4.206
2003-02-18,3.951,4.21
2003-02-19,3.884,4.159
2003-02-20,3.869,4.139
2003-02-21,3.89,4.184
2003-02-24,3.846,4.154
2003-02-25,3.822,4.147
2003-02-26,3.767,4.179
2003-02-27,3.739,4.233
2003-02-28,3.692,4.173
2003-03-03,3.675,4.109
2003-03-04,3.648,4.11
2003-03-05,3.63,4.114
2003-03-06,3.658,4.103
2003-03-07,3.643,4.058
2003-03-10,3.562,4.025
2003-03-11,3.583,4.032
2003-03-12,3.583,4.042
2003-03-13,3.747,4.197
2003-03-14,3.702,4.257
2003-03-17,3.84,4.396
2003-03-18,3.907,4.381
2003-03-19,3.986,4.497
2003-03-20,3.955,4.489
2003-03-21,4.105,4.555
2003-03-24,3.967,4.481
2003-03-25,3.944,4.46
2003-03-26,3.93,4.552
2003-03-27,3.925,4.5
2003-03-28,3.9,4.472
2003-03-31,3.798,4.288
2003-04-01,3.811,4.312
2003-04-02,3.93,4.386
2003-04-03,3.911,4.422
2003-04-04,3.954,4.437
2003-04-07,3.979,4.513
2003-04-08,3.934,4.473
2003-04-09,3.898,4.467
2003-04-10,3.944,4.407
2003-04-11,3.973,4.464
2003-04-14,4.016,4.486
2003-04-15,3.987,4.466
2003-04-16,3.94,4.432
2003-04-17,3.958,4.41
2003-04-18,3.958,4.416
2003-04-21,3.983,4.419
2003-04-22,3.966,4.391
2003-04-23,3.977,4.435
2003-04-24,3.921,4.365
2003-04-25,3.89,4.354
2003-04-28,3.903,4.359
2003-04-29,3.929,4.373
2003-04-30,3.838,4.35
2003-05-01,3.842,4.282
2003-05-02,3.925,4.351
2003-05-05,3.886,4.352
2003-05-06,3.786,4.349
2003-05-07,3.677,4.269
2003-05-08,3.683,4.239
2003-05-09,3.681,4.235
2003-05-12,3.644,4.217
2003-05-13,3.604,4.199
2003-05-14,3.522,4.212
2003-05-15,3.532,4.177
2003-05-16,3.42,4.133
2003-05-19,3.487,4.093
2003-05-20,3.356,4.066
2003-05-21,3.398,4.038
2003-05-22,3.316,4.03
2003-05-23,3.337,3.982
2003-05-26,3.334,3.982
2003-05-27,3.412,4.015
2003-05-28,3.425,4.11
2003-05-29,3.337,4.045
2003-05-30,3.372,4.066
2003-06-02,3.41,4.107
2003-06-03,3.331,4.009
2003-06-04,3.295,4.065
2003-06-05,3.344,3.998
2003-06-06,3.353,4.062
2003-06-09,3.278,3.951
2003-06-10,3.192,3.933
2003-06-11,3.212,3.903
2003-06-12,3.165,3.92
2003-06-13,3.114,3.858
2003-06-16,3.173,3.884
2003-06-17,3.262,3.949
2003-06-18,3.363,4.045
2003-06-19,3.339,4.06
2003-06-20,3.367,4.062
2003-06-23,3.313,4.046
2003-06-24,3.251,4.072
2003-06-25,3.405,4.035
2003-06-26,3.543,4.168
2003-06-27,3.543,4.211
2003-06-30,3.515,4.157
2003-07-01,3.549,4.145
2003-07-02,3.538,4.26
2003-07-03,3.663,4.316
2003-07-04,3.649,4.276
2003-07-07,3.733,4.302
2003-07-08,3.716,4.303
2003-07-09,3.682,4.301
2003-07-10,3.657,4.232
2003-07-11,3.628,4.218
2003-07-14,3.726,4.204
2003-07-15,3.983,4.3
2003-07-16,3.92,4.343
2003-07-17,3.922,4.386
2003-07-18,4.001,4.367
2003-07-21,4.212,4.414
2003-07-22,4.124,4.397
2003-07-23,4.11,4.357
